region,date,confirm,breakpoint
Wales,2020-09-28,426,0
Northern Ireland,2020-09-28,299,0
Wales,2020-09-29,466,0
Northern Ireland,2020-09-29,395,0
Wales,2020-09-30,596,0
Northern Ireland,2020-09-30,644,0
Wales,2020-10-01,623,0
Northern Ireland,2020-10-01,485,0
Wales,2020-10-02,599,0
Northern Ireland,2020-10-02,700,0
Wales,2020-10-03,518,0
Northern Ireland,2020-10-03,625,0
Wales,2020-10-04,614,1
Northern Ireland,2020-10-04,616,1
Wales,2020-10-05,703,0
Northern Ireland,2020-10-05,714,0
Wales,2020-10-06,771,0
Northern Ireland,2020-10-06,806,0
Wales,2020-10-07,848,0
Northern Ireland,2020-10-07,1039,0
Wales,2020-10-08,827,0
Northern Ireland,2020-10-08,991,0
Wales,2020-10-09,782,0
Northern Ireland,2020-10-09,855,0
Wales,2020-10-10,619,0
Northern Ireland,2020-10-10,804,0
Wales,2020-10-11,625,1
Northern Ireland,2020-10-11,837,0
Wales,2020-10-12,782,0
Northern Ireland,2020-10-12,1114,0
Wales,2020-10-13,952,0
Northern Ireland,2020-10-13,1089,0
Wales,2020-10-14,904,0
Northern Ireland,2020-10-14,1068,0
Wales,2020-10-15,791,0
Northern Ireland,2020-10-15,1112,0
Wales,2020-10-16,952,0
Northern Ireland,2020-10-16,979,1
Wales,2020-10-17,708,0
Northern Ireland,2020-10-17,846,0
Wales,2020-10-18,716,1
Northern Ireland,2020-10-18,795,0
Wales,2020-10-19,1110,0
Northern Ireland,2020-10-19,1047,0
Wales,2020-10-20,1237,0
Northern Ireland,2020-10-20,1075,0
Wales,2020-10-21,1263,0
Northern Ireland,2020-10-21,1117,0
Wales,2020-10-22,1056,0
Northern Ireland,2020-10-22,1087,0
Wales,2020-10-23,1197,0
Northern Ireland,2020-10-23,890,0
Wales,2020-10-24,1025,1
Northern Ireland,2020-10-24,752,0
Wales,2020-10-25,940,0
Northern Ireland,2020-10-25,689,0
Wales,2020-10-26,1556,0
Northern Ireland,2020-10-26,904,0
Wales,2020-10-27,1478,0
Northern Ireland,2020-10-27,831,0
Wales,2020-10-28,1355,0
Northern Ireland,2020-10-28,764,0
Wales,2020-10-29,1582,0
Northern Ireland,2020-10-29,701,0
Wales,2020-10-30,1239,0
Northern Ireland,2020-10-30,701,0
Wales,2020-10-31,879,0
Northern Ireland,2020-10-31,528,0
Wales,2020-11-01,947,0
Northern Ireland,2020-11-01,471,0
Wales,2020-11-02,1408,0
Northern Ireland,2020-11-02,711,0
Wales,2020-11-03,1218,0
Northern Ireland,2020-11-03,669,0
Wales,2020-11-04,1092,0
Northern Ireland,2020-11-04,609,0
Wales,2020-11-05,1013,0
Northern Ireland,2020-11-05,587,0
Wales,2020-11-06,872,0
Northern Ireland,2020-11-06,504,0
Wales,2020-11-07,599,0
Northern Ireland,2020-11-07,471,0
Wales,2020-11-08,695,0
Northern Ireland,2020-11-08,441,0
Wales,2020-11-09,1011,1
Northern Ireland,2020-11-09,687,0
Wales,2020-11-10,951,0
Northern Ireland,2020-11-10,744,0
Wales,2020-11-11,841,0
Northern Ireland,2020-11-11,641,0
Wales,2020-11-12,716,0
Northern Ireland,2020-11-12,578,0
Wales,2020-11-13,,0
Northern Ireland,2020-11-13,,0
Wales,2020-11-14,,0
Northern Ireland,2020-11-14,,0
Wales,2020-11-15,,0
Northern Ireland,2020-11-15,,0
Wales,2020-11-16,,0
Northern Ireland,2020-11-16,,0
